customer_id,age,gender,marital_status,education,employment_type,region,city_tier,residency_type,annual_income,monthly_income,monthly_expenses,savings_balance,existing_debt,loan_amount,tenure_months,interest_rate,credit_history_years,num_active_accounts,num_open_loans,credit_utilization,delinquency_30,delinquency_60,delinquency_90,recent_inquiries,repayment_ratio,avg_balance,txn_count_month,cashflow_stability,salary_credit_flag,overdraft_usage,collateral_flag,collateral_value,kyc_doc_quality,kyc_completion,kyc_risk_score,kyc_status,bureau_score,credit_score_band,dti,affordability_ratio,default_probability,risk_band,approval_status,loan_status,default
CUST000001,25,Female,Single,Master,Salaried,North,Tier3,Rent,53684.0,4473.67,3532.08,8828.13,11378.53,26973.45,81,5.0,29,4,0,0.781,1,0,0,1,1.265,6295.17,68,0.986,0,2,0,0.0,Good,Complete,0.466,Review,850.0,Excellent,0.714,0.21,0.172,Low,Rejected,Performing,0
CUST000002,55,Female,Married,Associate,Salaried,East,Tier3,Rent,71755.0,5979.58,4303.68,3328.03,10923.43,49073.74,55,8.48,11,9,0,0.57,0,0,0,1,1.387,4018.77,136,0.907,0,0,0,0.0,Good,Complete,0.4,Review,771.0,Very Good,0.836,0.28,0.339,Medium,Rejected,Performing,0
CUST000003,50,Male,Divorced,Bachelor,Self-employed,North,Tier2,Family,46420.0,3868.33,2307.87,16016.04,8645.41,10435.36,61,12.22,5,6,3,0.02,1,0,0,1,1.667,10819.08,94,0.758,1,0,0,0.0,Good,Complete,0.429,Review,761.0,Very Good,0.411,0.403,0.055,Low,Rejected,Performing,0
CUST000004,40,Male,Single,High School,Salaried,North,Tier2,Own,68600.0,5716.67,4014.53,5093.49,28274.02,52897.68,33,9.38,12,5,1,0.421,0,3,0,2,1.421,4463.99,108,0.708,1,0,0,0.0,Average,Complete,0.608,Review,734.0,Good,1.183,0.298,0.991,Critical,Rejected,Defaulted,1
CUST000005,40,Male,Single,Bachelor,Salaried,North,Tier3,Own,53735.0,4477.92,3129.94,6828.83,24120.89,47928.86,61,12.37,28,5,4,0.602,0,0,0,2,1.425,3951.88,107,0.631,1,0,0,0.0,Good,Complete,0.439,Review,850.0,Excellent,1.341,0.301,0.878,Critical,Rejected,Defaulted,1
CUST000006,59,Male,Married,Bachelor,Salaried,East,Tier3,Rent,65806.0,5483.83,3986.33,16357.22,20099.39,10967.74,52,9.22,17,7,2,0.34,1,1,0,2,1.372,18741.17,110,0.91,1,0,0,0.0,Good,Complete,0.438,Review,795.0,Very Good,0.472,0.273,0.733,High,Rejected,At Risk,0
CUST000007,24,Male,Single,Bachelor,Contract,East,Tier3,Rent,76151.0,6345.92,4919.8,24811.22,1913.31,46627.92,13,5.0,19,12,1,0.724,1,0,0,3,1.289,17074.4,92,0.738,1,1,1,61715.0,Average,Partial,0.736,Rejected,838.0,Excellent,0.637,0.225,0.237,Low,Rejected,Performing,0
CUST000008,52,Female,Married,High School,Salaried,South,Tier3,Rent,44227.0,3685.58,2106.92,6266.82,8202.66,23168.58,35,11.13,18,2,3,0.347,0,0,0,0,1.74,6977.17,37,0.715,1,0,1,42504.0,Good,Complete,0.583,Review,850.0,Excellent,0.709,0.428,0.042,Low,Rejected,Performing,0
CUST000009,30,Male,Single,Master,Salaried,West,Tier2,Own,46685.0,3890.42,2020.94,9769.84,4617.81,11939.69,83,8.94,16,3,0,0.411,0,0,0,1,1.917,5838.66,56,0.502,1,0,1,12857.0,Average,Complete,0.542,Review,850.0,Excellent,0.355,0.481,0.034,Low,Rejected,Performing,0
CUST000010,25,Male,Married,High School,Self-employed,West,Tier2,Rent,61762.0,5146.83,3228.5,4614.22,34025.7,49740.91,62,5.35,26,1,1,0.176,0,0,0,0,1.592,6751.17,65,0.483,1,1,0,0.0,Poor,Partial,0.928,Rejected,850.0,Excellent,1.356,0.373,0.18,Low,Rejected,Performing,0
CUST000011,44,Female,Married,Master,Salaried,North,Tier2,Rent,35182.0,2931.83,1424.27,6126.17,8980.81,13509.57,46,12.32,12,5,0,0.09,1,0,0,2,2.041,7934.86,87,0.593,1,0,0,0.0,Poor,Complete,0.674,Rejected,822.0,Excellent,0.639,0.514,0.358,Medium,Rejected,Performing,0
CUST000012,64,Female,Married,Master,Student,North,Tier3,Own,47708.0,3975.67,2249.57,11183.79,23375.43,39327.79,66,11.43,3,4,0,0.261,1,0,0,0,1.758,8061.35,20,0.767,1,0,0,0.0,Good,Complete,0.844,Rejected,704.0,Good,1.314,0.434,0.895,Critical,Rejected,Defaulted,1
CUST000013,54,Male,Married,High School,Contract,West,Tier2,Own,38104.0,3175.33,2555.11,5325.04,14439.03,34184.61,38,7.08,27,11,1,0.362,0,0,0,1,1.239,7071.67,107,0.464,1,1,0,0.0,Good,Complete,0.53,Review,850.0,Excellent,1.276,0.195,0.495,Medium,Rejected,At Risk,0
CUST000014,55,Male,Single,Bachelor,Salaried,East,Tier1,Rent,58486.0,4873.83,3245.57,13784.26,37124.22,21332.48,59,5.25,13,7,3,0.252,1,1,0,4,1.499,15193.45,123,0.973,1,0,0,0.0,Good,Complete,0.533,Review,739.0,Good,0.999,0.334,0.92,Critical,Rejected,Defaulted,1
CUST000015,53,Female,Married,Bachelor,Salaried,West,Tier2,Own,81065.0,6755.42,4614.7,1935.84,20186.51,43745.8,76,13.35,22,11,3,0.286,0,0,0,1,1.46,2661.17,83,0.705,1,1,0,0.0,Good,Partial,0.797,Rejected,850.0,Excellent,0.789,0.317,0.635,High,Rejected,At Risk,0
CUST000016,56,Male,Married,PhD,Salaried,East,Tier1,Own,92670.0,7722.5,5415.72,7479.35,29523.81,19740.14,37,12.49,1,8,3,0.231,0,0,0,2,1.423,7112.34,91,0.839,1,0,0,0.0,Good,Complete,0.514,Review,744.0,Very Good,0.532,0.299,0.049,Low,Rejected,Performing,0
CUST000017,44,Female,Single,Master,Contract,West,Tier1,Rent,111790.0,9315.83,6464.89,14604.02,26134.27,31468.89,31,9.34,7,2,3,0.533,0,1,0,0,1.439,15801.9,44,0.886,0,1,0,0.0,Good,Complete,0.475,Review,735.0,Good,0.515,0.306,0.246,Low,Rejected,Performing,0
CUST000018,26,Female,Single,Associate,Salaried,South,Tier3,Rent,65368.0,5447.33,3344.85,13457.85,26346.32,11430.09,12,8.24,15,5,1,0.076,1,1,0,1,1.625,16478.27,57,0.656,1,2,0,0.0,Good,Complete,0.435,Review,809.0,Excellent,0.578,0.386,0.275,Medium,Rejected,Performing,0
CUST000019,58,Male,Married,PhD,Salaried,South,Tier3,Rent,35883.0,2990.25,2035.41,10864.65,11281.67,3464.41,46,9.13,6,5,3,0.334,0,0,0,0,1.463,16230.48,41,0.713,1,0,1,3404.0,Average,Complete,0.835,Rejected,743.0,Very Good,0.411,0.319,0.069,Low,Rejected,Performing,0
CUST000020,41,Female,Married,Associate,Self-employed,West,Tier1,Rent,35288.0,2940.67,2220.84,3485.65,18746.14,12766.44,82,9.45,1,8,1,0.385,0,0,0,1,1.319,2445.69,97,0.822,1,0,1,31702.0,Good,Pending,0.745,Rejected,716.0,Good,0.893,0.245,0.26,Medium,Rejected,Performing,0
CUST000021,43,Male,Married,Associate,Self-employed,East,Tier2,Rent,72739.0,6061.58,2831.72,2119.57,6010.67,27530.83,51,14.11,9,6,0,0.121,0,0,0,3,2.13,2176.24,101,0.736,0,0,1,57771.0,Average,Complete,0.821,Rejected,830.0,Excellent,0.461,0.533,0.797,Critical,Rejected,At Risk,0
CUST000022,37,Male,Single,Bachelor,Salaried,South,Tier2,Own,51299.0,4274.92,2269.47,4402.13,1681.34,9119.05,70,12.96,0,12,0,0.274,0,0,0,2,1.873,5071.94,36,0.721,1,0,0,0.0,Good,Partial,0.775,Rejected,720.0,Good,0.211,0.469,0.019,Low,Rejected,Performing,0
CUST000023,29,Male,Single,Master,Salaried,South,Tier3,Rent,40961.0,3413.42,1785.52,8956.81,12925.37,28943.17,74,8.67,14,5,3,0.375,0,0,0,1,1.902,5815.78,31,0.881,1,0,0,0.0,Poor,Complete,0.729,Rejected,843.0,Excellent,1.022,0.477,0.391,Medium,Rejected,Performing,0
CUST000024,62,Other,Divorced,High School,Self-employed,North,Tier3,Rent,91548.0,7629.0,3494.21,12226.2,30409.44,62539.93,26,5.0,2,12,1,0.355,0,1,0,1,2.18,13031.82,125,0.878,1,0,1,116467.0,Average,Complete,0.729,Rejected,746.0,Very Good,1.015,0.542,0.762,Critical,Rejected,At Risk,0
CUST000025,56,Male,Single,Bachelor,Self-employed,West,Tier1,Rent,122433.0,10202.75,6723.75,11448.75,65554.86,37792.53,69,14.79,27,8,4,0.174,0,0,0,3,1.514,12025.76,126,0.774,1,0,1,79515.0,Good,Complete,0.395,Review,850.0,Excellent,0.844,0.341,0.321,Medium,Rejected,Performing,0
CUST000026,49,Male,Divorced,High School,Salaried,East,Tier1,Own,74141.0,6178.42,3546.7,23641.34,11332.78,26174.59,64,5.9,10,4,2,0.628,0,0,0,0,1.739,28043.81,89,0.524,0,0,1,43645.0,Good,Complete,0.665,Rejected,809.0,Excellent,0.506,0.426,0.599,High,Rejected,At Risk,0
CUST000027,39,Female,Married,Associate,Student,East,Tier3,Own,90580.0,7548.33,4295.59,8221.36,11867.12,16956.66,38,5.0,21,1,1,0.173,0,0,0,2,1.755,9264.21,68,0.592,1,1,1,39014.0,Good,Complete,0.59,Review,850.0,Excellent,0.318,0.431,0.081,Low,Rejected,Performing,0
CUST000028,58,Male,Married,PhD,Salaried,East,Tier3,Family,48675.0,4056.25,3171.09,4004.8,15886.42,17457.54,28,10.69,9,8,2,0.331,0,0,0,3,1.275,4744.4,113,0.686,0,1,0,0.0,Good,Partial,0.73,Rejected,818.0,Excellent,0.685,0.218,0.647,High,Rejected,At Risk,0
