customer_id,kyc_doc_quality,kyc_completion,kyc_risk_score,kyc_status,sanction_flag,pep_flag,selfie_match_score,approval_status
CUST000001,Good,Complete,0.466,Review,0,0,0.877,Rejected
CUST000002,Good,Complete,0.4,Review,0,0,0.914,Rejected
CUST000003,Good,Complete,0.429,Review,0,0,1.0,Rejected
CUST000004,Average,Complete,0.608,Review,0,0,0.946,Rejected
CUST000005,Good,Complete,0.439,Review,0,0,0.903,Rejected
CUST000006,Good,Complete,0.438,Review,0,0,0.846,Rejected
CUST000007,Average,Partial,0.736,Rejected,0,0,0.807,Rejected
CUST000008,Good,Complete,0.583,Review,0,0,0.896,Rejected
CUST000009,Average,Complete,0.542,Review,0,0,0.832,Rejected
CUST000010,Poor,Partial,0.928,Rejected,0,0,0.903,Rejected
CUST000011,Poor,Complete,0.674,Rejected,0,0,0.862,Rejected
CUST000012,Good,Complete,0.844,Rejected,1,0,0.832,Rejected
CUST000013,Good,Complete,0.53,Review,0,0,0.936,Rejected
CUST000014,Good,Complete,0.533,Review,0,0,1.0,Rejected
CUST000015,Good,Partial,0.797,Rejected,0,0,1.0,Rejected
CUST000016,Good,Complete,0.514,Review,0,0,0.947,Rejected
CUST000017,Good,Complete,0.475,Review,0,0,0.9,Rejected
CUST000018,Good,Complete,0.435,Review,0,0,0.822,Rejected
CUST000019,Average,Complete,0.835,Rejected,0,0,0.738,Rejected
CUST000020,Good,Pending,0.745,Rejected,0,0,0.997,Rejected
CUST000021,Average,Complete,0.821,Rejected,0,1,1.0,Rejected
CUST000022,Good,Partial,0.775,Rejected,0,0,0.914,Rejected
CUST000023,Poor,Complete,0.729,Rejected,0,0,0.982,Rejected
CUST000024,Average,Complete,0.729,Rejected,0,0,0.984,Rejected
CUST000025,Good,Complete,0.395,Review,0,0,0.878,Rejected
CUST000026,Good,Complete,0.665,Rejected,0,0,0.829,Rejected
CUST000027,Good,Complete,0.59,Review,0,0,1.0,Rejected
CUST000028,Good,Partial,0.73,Rejected,0,0,0.93,Rejected
CUST000029,Good,Complete,0.443,Review,0,0,0.97,Rejected
CUST000030,Good,Complete,0.481,Review,0,0,0.837,Rejected
CUST000031,Poor,Complete,0.782,Rejected,0,0,0.893,Rejected
CUST000032,Good,Complete,0.497,Review,0,0,0.853,Rejected
CUST000033,Average,Pending,0.887,Rejected,0,0,0.801,Rejected
CUST000034,Good,Complete,0.566,Review,0,0,0.938,Rejected
