customer_id,age,gender,marital_status,education_level,employment_status,region,customer_tenure_years,annual_income,employment_years,savings_balance,monthly_expenses,existing_loans,num_delinquencies,recent_credit_inquiries,loan_amount,credit_score,debt_to_income_ratio,kyc_verified,document_match_score,face_match_score,liveness_score,device_trust_score,transaction_velocity,avg_txn_amount,cash_out_ratio,account_age_months,geo_risk_score,rule_engine_hits,fraud_probability_true,fraud_label
C000000,23,Male,Married,PhD,Self-employed,West,12.7,150000.0,3.0,25062.0,5000.0,4,0,4,11883.0,781.0,0.102,1,0.979,0.759,1.0,0.798,7.7,716.0,0.334,3.0,0.237,1,0.1152,0
C000001,65,Male,Married,Associate,Contract,South,8.0,150000.0,8.0,43052.0,9066.0,0,0,2,54374.0,731.0,0.348,1,0.986,0.836,0.902,0.801,1.17,4183.0,0.142,84.0,0.233,0,0.0783,0
C000002,58,Male,Single,Master,Self-employed,South,5.4,150000.0,4.0,79583.0,10787.0,3,0,1,36236.0,745.0,0.276,1,0.832,0.945,0.917,0.71,3.71,2494.0,0.612,86.0,0.168,0,0.0242,0
C000003,45,Female,Single,Master,Self-employed,South,2.0,150000.0,2.0,10852.0,8142.0,5,0,0,46807.0,779.0,0.284,1,1.0,0.935,0.932,0.841,16.86,909.0,0.838,101.0,0.502,0,0.0167,0
C000004,44,Female,Single,Master,Contract,Central,7.9,150000.0,7.9,18063.0,7030.0,2,0,4,37352.0,751.0,0.226,1,0.885,0.964,0.903,0.909,19.94,4773.0,0.793,72.0,0.525,1,0.1732,0
C000005,71,Male,Married,High School,Salaried,Central,6.7,150000.0,4.0,29879.0,6562.0,2,0,0,11631.0,745.0,0.081,1,0.984,0.971,0.984,0.814,6.64,500.0,0.382,53.0,0.0,0,0.0212,0
C000006,23,Male,Married,Bachelor,Salaried,North,9.0,150000.0,2.0,44590.0,8146.0,5,0,2,35795.0,787.0,0.228,1,0.885,0.831,0.906,0.904,0.94,3513.0,0.804,49.0,0.244,0,0.013,0
C000007,61,Female,Single,Associate,Salaried,South,7.1,150000.0,5.0,61887.0,10573.0,5,0,2,39755.0,689.0,0.255,1,0.818,0.83,0.854,0.895,7.32,2592.0,0.096,50.0,0.0,0,0.133,0
C000008,30,Male,Married,Bachelor,Salaried,North,1.1,150000.0,1.1,16147.0,5851.0,1,1,0,27367.0,755.0,0.172,1,0.861,1.0,0.941,0.941,7.08,787.0,0.813,79.0,0.303,1,0.097,0
C000009,23,Male,Single,High School,Salaried,South,3.5,150000.0,3.5,10497.0,6740.0,0,1,1,62572.0,706.0,0.384,1,0.881,0.852,1.0,0.806,7.6,623.0,0.976,100.0,0.248,1,0.1482,0
C000010,50,Male,Married,PhD,Self-employed,South,6.6,150000.0,3.0,16213.0,6650.0,5,3,2,24372.0,625.0,0.142,1,0.843,0.908,0.995,0.754,19.17,584.0,0.451,24.0,0.283,1,0.8642,1
C000011,78,Male,Divorced,Associate,Self-employed,East,10.6,150000.0,10.6,50179.0,11557.0,1,0,3,66053.0,643.0,0.408,1,1.0,0.718,0.893,0.869,6.36,2084.0,0.869,21.0,0.096,0,0.3682,0
C000012,63,Female,Single,Master,Self-employed,North,2.5,150000.0,2.5,39616.0,11696.0,2,0,3,17872.0,680.0,0.12,1,0.956,0.937,0.824,0.715,7.77,1197.0,0.558,35.0,0.589,0,0.141,0
C000013,65,Female,Married,High School,Salaried,South,2.0,150000.0,2.0,45880.0,6208.0,1,0,1,12238.0,733.0,0.093,1,0.987,0.913,0.941,1.0,4.83,1436.0,0.724,12.0,0.071,0,0.02,0
C000014,62,Male,Married,Master,Self-employed,West,4.1,150000.0,4.1,38494.0,7770.0,5,0,2,9419.0,768.0,0.073,1,0.904,0.894,1.0,1.0,4.5,2631.0,0.177,75.0,0.139,0,0.0604,0
C000015,66,Female,Married,Master,Self-employed,East,4.5,150000.0,2.0,33510.0,9152.0,0,0,1,24949.0,708.0,0.131,1,0.894,0.877,1.0,1.0,7.23,4859.0,0.314,70.0,0.026,0,0.0249,0
C000016,49,Male,Single,Associate,Salaried,West,4.4,150000.0,3.0,10962.0,9266.0,2,0,1,15141.0,800.0,0.121,1,0.912,0.855,0.88,0.829,2.96,500.0,0.786,33.0,0.306,0,0.0149,0
C000017,25,Female,Married,Bachelor,Salaried,South,7.3,150000.0,7.3,15703.0,5000.0,4,4,4,10636.0,542.0,0.113,1,1.0,0.886,0.856,0.779,7.02,1211.0,0.603,24.0,0.043,2,0.9727,1
C000018,70,Male,Married,Associate,Salaried,North,6.1,150000.0,4.0,39730.0,6457.0,5,0,5,109436.0,637.0,0.634,1,0.795,0.889,0.864,0.863,3.4,3783.0,0.977,33.0,0.279,2,0.8108,1
C000019,45,Male,Single,Associate,Self-employed,North,4.5,150000.0,1.0,109987.0,6321.0,1,0,4,22234.0,730.0,0.126,1,0.865,0.845,0.887,0.875,4.9,2038.0,0.927,8.0,0.135,1,0.1328,0
C000020,49,Female,Divorced,Bachelor,Self-employed,Central,15.1,150000.0,7.0,30209.0,5000.0,2,0,2,38334.0,728.0,0.188,1,0.836,0.943,1.0,0.683,2.55,4151.0,0.907,97.0,0.549,0,0.0743,0
C000021,40,Female,Divorced,Bachelor,Self-employed,West,9.8,150000.0,6.0,17230.0,5740.0,2,0,0,10311.0,766.0,0.157,1,0.971,0.843,0.896,0.926,4.32,500.0,0.278,52.0,0.69,0,0.0062,0
C000022,29,Female,Single,Bachelor,Salaried,West,5.9,150000.0,5.0,6117.0,7022.0,0,0,3,14414.0,775.0,0.11,1,0.916,1.0,0.935,0.662,0.96,4256.0,0.0,22.0,0.243,0,0.0232,0
C000023,75,Female,Married,Master,Salaried,West,1.8,150000.0,1.0,53343.0,5000.0,0,0,3,14594.0,720.0,0.107,1,0.806,0.97,0.853,0.748,1.83,775.0,0.062,104.0,0.379,0,0.0731,0
C000024,66,Female,Divorced,Bachelor,Salaried,North,1.1,150000.0,1.1,14262.0,8200.0,2,2,0,20345.0,662.0,0.1,1,0.967,0.785,0.787,0.898,6.41,2423.0,0.161,75.0,0.144,1,0.146,0
C000025,57,Female,Married,Bachelor,Contract,West,2.4,150000.0,2.0,37464.0,8183.0,2,1,1,14311.0,749.0,0.074,1,0.75,0.913,0.925,0.836,3.27,6884.0,0.844,41.0,0.267,1,0.0192,0
C000026,42,Male,Married,PhD,Salaried,West,6.0,150000.0,3.0,22564.0,9791.0,0,0,0,12890.0,762.0,0.128,1,0.796,0.895,0.884,0.882,4.51,1184.0,0.561,7.0,0.057,0,0.0258,0
C000027,69,Male,Single,PhD,Salaried,Central,3.3,150000.0,3.3,44147.0,5000.0,1,0,1,33815.0,786.0,0.192,1,0.912,0.867,1.0,0.772,3.79,2354.0,0.448,33.0,0.164,0,0.0173,0
C000028,51,Female,Married,Bachelor,Salaried,North,1.9,150000.0,1.9,6765.0,7217.0,3,0,0,25321.0,745.0,0.19,1,0.938,0.918,1.0,0.85,3.13,504.0,0.358,53.0,0.346,0,0.0084,0
C000029,45,Female,Married,PhD,Self-employed,South,4.1,150000.0,4.1,26173.0,6656.0,1,0,1,24229.0,785.0,0.179,1,0.899,0.947,0.84,0.85,4.05,1638.0,0.615,21.0,0.456,0,0.0312,0
C000030,45,Female,Married,PhD,Unemployed,South,2.3,221060.0,2.3,105406.0,8546.0,5,0,0,24646.0,799.0,0.068,1,0.755,1.0,0.926,0.858,6.11,1868.0,0.358,28.0,0.171,0,0.0081,0
C000031,32,Male,Married,Bachelor,Salaried,West,4.0,150000.0,4.0,93695.0,5636.0,1,0,4,13503.0,789.0,0.127,1,0.75,0.903,0.968,0.726,5.29,968.0,0.038,65.0,0.403,1,0.0389,0
C000032,23,Male,Married,Master,Salaried,South,15.3,150000.0,6.0,8936.0,8541.0,1,0,4,5000.0,771.0,0.1,1,0.883,0.87,0.878,0.728,1.77,1819.0,0.38,41.0,0.363,1,0.0475,0
C000033,52,Male,Single,High School,Unemployed,North,3.6,150000.0,3.6,4551.0,7015.0,3,1,3,31117.0,722.0,0.199,1,0.919,0.996,0.931,1.0,6.79,2609.0,0.296,3.0,0.183,1,0.2566,0
C000034,73,Female,Married,Associate,Self-employed,North,9.9,150000.0,4.0,10528.0,10172.0,4,0,3,8113.0,678.0,0.054,1,0.985,1.0,0.855,1.0,10.02,1011.0,0.83,58.0,0.032,0,0.1158,0
C000035,21,Male,Single,High School,Salaried,East,8.0,150000.0,3.0,15309.0,10998.0,4,2,3,9661.0,753.0,0.06,1,0.806,0.856,0.946,0.942,8.69,500.0,0.727,60.0,0.0,1,0.4087,0
C000036,71,Female,Married,High School,Contract,East,9.0,150000.0,9.0,30978.0,6577.0,1,0,2,7407.0,746.0,0.037,1,0.942,0.919,0.948,0.603,0.67,6376.0,0.768,79.0,0.509,0,0.082,0
C000037,69,Male,Married,Master,Salaried,South,1.2,150000.0,1.2,40599.0,6379.0,5,0,6,5000.0,758.0,0.049,1,0.972,0.909,0.966,0.83,2.91,1057.0,0.441,31.0,0.195,1,0.0769,0
C000038,35,Male,Married,Associate,Unemployed,West,13.4,150000.0,13.0,41365.0,8145.0,1,0,1,18136.0,717.0,0.099,1,0.843,0.898,0.905,0.813,5.31,789.0,0.443,92.0,0.067,0,0.0586,0
C000039,57,Female,Single,Associate,Salaried,North,7.8,150000.0,3.0,45731.0,8658.0,0,0,2,9118.0,768.0,0.087,1,0.946,0.936,0.963,0.838,11.53,982.0,0.01,120.0,0.371,0,0.0513,0
C000040,28,Male,Married,Bachelor,Contract,East,4.6,150000.0,4.6,9445.0,6475.0,5,3,4,9852.0,603.0,0.089,1,0.99,0.993,0.926,0.907,1.32,1472.0,0.176,60.0,0.188,2,0.9378,1
C000041,65,Female,Single,High School,Unemployed,South,7.4,150000.0,7.4,9663.0,11409.0,3,0,1,17459.0,755.0,0.117,1,0.983,1.0,0.793,1.0,7.29,725.0,0.64,38.0,0.0,0,0.0373,0
C000042,61,Male,Single,Master,Self-employed,South,3.2,150000.0,3.2,25200.0,11762.0,2,0,0,30465.0,743.0,0.224,1,0.92,1.0,0.926,0.723,6.92,604.0,0.197,43.0,0.315,0,0.0148,0
C000043,39,Female,Married,Master,Self-employed,Central,1.0,150000.0,1.0,34534.0,7623.0,2,0,0,9326.0,763.0,0.046,1,0.915,0.998,0.943,0.799,2.54,959.0,0.111,30.0,0.098,0,0.0051,0
C000044,22,Female,Single,High School,Unemployed,East,10.8,161165.0,5.0,18502.0,6284.0,2,0,4,33167.0,785.0,0.228,1,1.0,0.909,0.873,0.758,5.51,1612.0,0.901,22.0,0.357,1,0.0538,0
C000045,78,Female,Married,Bachelor,Salaried,South,1.5,150000.0,1.5,3595.0,9217.0,3,0,0,18991.0,719.0,0.14,1,0.824,0.933,0.919,0.689,0.93,4147.0,0.201,30.0,0.299,0,0.0133,0
C000046,45,Male,Divorced,Bachelor,Contract,North,5.2,150000.0,1.0,30093.0,10342.0,3,5,0,13257.0,523.0,0.105,1,1.0,0.978,0.827,0.736,4.26,1099.0,0.991,31.0,0.114,1,0.9766,1
