symbol,sector,recommendation_score,recommendation,last_close,momentum,valuation
ICICIBANK.NS,Banking,0.398,SELL,1054.55,0.425,0.503
TCS.NS,IT,0.374,SELL,2025.53,0.873,0.345
AXISBANK.NS,Banking,0.354,SELL,3418.07,0.551,0.842
LT.NS,Construction,0.349,SELL,16602.5,0.855,0.537
ITC.NS,FMCG,0.304,SELL,390.94,0.816,0.705
INFY.NS,IT,0.254,SELL,2232.11,0.369,0.462
TITAN.NS,Consumer,0.235,SELL,4059.71,0.798,0.586
RELIANCE.NS,Energy,0.229,SELL,7511.48,0.669,0.362
HDFCBANK.NS,Banking,0.094,SELL,1024.57,0.782,0.328
SBIN.NS,Banking,0.0,SELL,127.18,0.204,0.847
