age,annual_income,loan_amount,credit_score,credit_history_years,debt_to_income_ratio,num_delinquencies,num_open_accounts,recent_credit_inquiries,savings_balance,employment_years,interest_rate,loan_tenure_months,employment_status,rent_or_own,loan_purpose,region,default,default_probability,expected_loss
25,21251.0,13801.0,710.0,2.0,0.49,0,7,1,85000.0,2.0,12.3,38.0,Self-employed,Rent,Medical,West,0,0.013378612261987534,83.08720252246049
58,111498.0,15313.0,835.0,10.0,0.336,0,5,1,17952.0,7.0,9.02,18.0,Contract,Own,Medical,East,0,0.003460868457573332,23.848325410869194
53,114749.0,10000.0,735.0,21.0,0.171,1,5,3,20022.0,4.0,11.82,24.0,Salaried,Own,Home improvement,South,0,0.009059808282867749,40.76913727290487
42,46124.0,21435.0,639.0,4.0,0.326,0,7,3,11226.0,5.0,14.2,20.0,Salaried,Mortgage,Debt consolidation,North,0,0.02592282905793674,250.0451283855933
42,79754.0,18012.0,667.0,16.0,0.129,0,10,0,9595.0,7.0,10.45,19.0,Salaried,Rent,Debt consolidation,Central,0,0.00464454548810135,37.64589899925669
63,53135.0,86424.0,651.0,3.0,0.252,0,6,2,77986.0,21.0,11.93,43.0,Salaried,Mortgage,Other,North,0,0.04023147315688249,1564.6341762496854
25,68395.0,41958.0,737.0,9.0,0.297,2,11,5,51706.0,16.0,13.43,16.0,Salaried,Rent,Education,Central,0,0.49738157588527865,9391.111272447535
55,31857.0,14973.0,753.0,16.0,0.274,0,10,3,29814.0,26.0,15.34,24.0,Salaried,Own,Medical,South,0,0.00537041622351823,36.18505895163231
30,84320.0,10000.0,784.0,7.0,0.028,0,8,4,26137.0,3.0,12.57,16.0,Salaried,Own,Home improvement,South,0,0.003660802810911137,16.47361264910012
25,24279.0,10000.0,672.0,6.0,0.211,0,13,2,95518.0,4.0,9.24,19.0,Self-employed,Own,Medical,North,0,0.006895956814524809,31.03180566536164
46,21885.0,10202.0,716.0,7.0,0.455,2,6,3,48094.0,10.0,9.83,13.0,Salaried,Own,Education,Central,0,0.26977201836120834,1238.4963590944715
68,55991.0,10000.0,760.0,1.0,0.172,1,8,1,17405.0,5.0,8.61,12.0,Unemployed,Rent,Other,West,0,0.0119981088391674,53.9914897762533
57,53307.0,28609.0,775.0,3.0,0.43,3,3,2,101869.0,5.0,9.46,19.0,Unemployed,Mortgage,Other,West,0,0.14693740853938986,1891.679544406532
