symbol,sector,beta,momentum,valuation,dividend_yield,pe_ratio,de_ratio
RELIANCE.NS,Energy,1.15,0.669,0.362,0.0154,28.4,0.52
TCS.NS,IT,0.95,0.873,0.345,0.014,20.17,1.59
HDFCBANK.NS,Banking,1.05,0.782,0.328,0.0253,12.39,0.94
INFY.NS,IT,0.9,0.369,0.462,0.0111,18.35,1.53
ICICIBANK.NS,Banking,1.0,0.425,0.503,0.0109,34.84,1.17
LT.NS,Construction,1.1,0.855,0.537,0.0229,18.62,1.35
SBIN.NS,Banking,1.2,0.204,0.847,0.0217,24.19,0.21
ITC.NS,FMCG,0.85,0.816,0.705,0.0329,12.12,1.0
TITAN.NS,Consumer,0.98,0.798,0.586,0.0257,39.39,0.94
AXISBANK.NS,Banking,1.08,0.551,0.842,0.0229,17.1,1.57
